596495	2.72233e+06	51.7451
1603507621.141192	794754.627297	2490943.748366	0
1603507622.136476	794754.889131	2490942.929921	0
1603507623.131738	794755.223114	2490941.869843	0
1603507624.142026	794755.718882	2490940.313967	0
1603507625.132299	794756.392884	2490938.311851	0
1603507626.142599	794757.091114	2490936.339760	0
1603507627.132819	794757.781813	2490934.479538	0
1603507628.143085	794758.441394	2490932.710570	0
1603507629.133645	794759.117371	2490930.984605	0
1603507630.143604	794759.793132	2490929.294525	0
1603507631.133814	794760.454279	2490927.611581	0
1603507632.509261	794761.169471	2490925.851367	0
1603507633.154295	794761.947977	2490923.910780	0
1603507634.144503	794762.782221	2490921.819537	0
1603507635.144688	794763.635055	2490919.762308	0
1603507636.134875	794764.496758	2490917.802328	0
1603507637.145069	794765.304846	2490915.945190	0
1603507638.132475	794766.129148	2490914.047434	0
1603507639.145452	794767.025265	2490911.998587	0
1603507640.135663	794767.933192	2490909.822768	0
1603507641.135839	794768.888590	2490907.546366	0
1603507642.146011	794769.800367	2490905.296384	0
1603507643.146210	794770.668501	2490903.133697	0
1603507644.136375	794771.484191	2490901.065000	0
1603507645.146533	794772.252799	2490899.089055	0
1603507646.146715	794772.992006	2490897.213311	0
1603507647.146893	794773.763500	2490895.438830	0
1603507648.137342	794774.448146	2490893.742422	0
1603507649.147195	794775.130210	2490892.130587	0
1603507650.147341	794775.800419	2490890.613884	0
1603507651.147488	794776.446319	2490889.190529	0
1603507652.147668	794777.030199	2490887.839878	0
1603507653.147796	794777.560956	2490886.578847	0
1603507654.147936	794778.055936	2490885.380250	0
1603507655.148082	794778.506370	2490884.259512	0
1603507656.148208	794778.928069	2490883.197636	0
1603507657.148342	794779.308403	2490882.198564	0
1603507658.158503	794779.672756	2490881.273143	0
1603507659.158711	794780.007077	2490880.412175	0
1603507660.148716	794780.315928	2490879.631455	0
1603507661.148849	794780.589436	2490878.916396	0
1603507662.519332	794780.836138	2490878.251518	0
1603507663.149104	794781.061233	2490877.656763	0
1603507664.149177	794781.305523	2490877.027163	0
1603507665.149334	794781.618266	2490876.186411	0
1603507666.139461	794781.971178	2490875.225140	0
1603507667.149597	794782.295840	2490874.294035	0
1603507668.139695	794782.602203	2490873.417260	0
1603507669.139815	794782.899891	2490872.520860	0
1603507670.139888	794783.263664	2490871.465117	0
1603507671.150015	794783.709342	2490870.168104	0
1603507672.140112	794784.227926	2490868.700065	0
1603507673.135656	794784.780299	2490867.124643	0
1603507674.140331	794785.343543	2490865.477662	0
1603507675.140416	794785.584228	2490864.772810	0
1603507676.150537	794785.582168	2490864.780214	0
1603507677.150592	794785.607646	2490864.718518	0
1603507678.150733	794785.746583	2490864.307012	0
1603507679.150836	794786.030585	2490863.471421	0
1603507680.150926	794786.335564	2490862.544530	0
1603507681.151038	794786.358865	2490862.481417	0
1603507682.151120	794786.374476	2490862.442146	0
1603507683.151205	794786.426895	2490862.266032	0
1603507684.151290	794786.482443	2490862.094748	0
1603507685.146649	794786.628078	2490861.648982	0
1603507686.151482	794786.887683	2490860.841475	0
1603507687.141918	794787.222943	2490859.804821	0
1603507688.151660	794787.646223	2490858.488970	0
1603507689.151811	794788.065803	2490857.165247	0
1603507690.144476	794788.446080	2490856.014031	0
1603507691.151948	794788.817202	2490854.807740	0
1603507692.522325	794789.174720	2490853.680837	0
1603507693.152129	794789.500646	2490852.638851	0
1603507694.147480	794789.806396	2490851.661268	0
1603507695.147585	794790.100119	2490850.727842	0
1603507696.147680	794790.382578	2490849.811256	0
1603507697.152432	794790.709083	2490848.752265	0
1603507698.147523	794791.098472	2490847.483256	0
1603507699.147860	794791.297689	2490846.852277	0
1603507700.152627	794791.297717	2490846.861892	0
1603507701.148096	794791.299613	2490846.854488	0
1603507702.162816	794791.381431	2490846.582855	0
1603507703.152868	794791.593196	2490845.908191	0
1603507704.143221	794791.850337	2490845.077011	0
1603507705.150736	794791.863371	2490845.043248	0
