596494.519994	2722327.913103	3.141593
596494.519994	2722327.913103	3.141593
596494.519994	2722327.913103	3.141593
596494.519994	2722327.913103	3.141593
596494.519994	2722327.913103	3.141593
596494.519993	2722327.913103	3.141593
596494.519993	2722327.913103	3.141593
596494.519993	2722327.913104	3.141593
596494.519993	2722327.913104	3.141593
596494.519993	2722327.913104	3.141593
596494.519992	2722327.913104	3.141593
596494.519992	2722327.913104	3.141593
596494.519992	2722327.913105	3.141593
596494.519992	2722327.913105	3.141593
596494.519993	2722327.913105	3.141593
596494.519993	2722327.913105	3.141593
596494.519993	2722327.913106	3.141593
596494.519994	2722327.913106	3.141593
596494.519995	2722327.913107	3.141593
596494.519996	2722327.913107	3.141593
596494.519997	2722327.913108	3.141593
596494.519999	2722327.913109	3.141593
596494.520001	2722327.913110	3.141593
596494.520003	2722327.913111	3.141593
596494.520005	2722327.913112	3.141593
596494.520008	2722327.913113	3.141593
596494.520011	2722327.913114	3.141593
596494.520014	2722327.913115	3.141593
596494.520017	2722327.913116	3.141593
596494.520021	2722327.913118	3.141593
596494.520024	2722327.913119	3.141593
596494.520028	2722327.913120	3.141593
596494.520032	2722327.913121	3.141593
596494.520036	2722327.913123	3.141593
596494.520040	2722327.913124	3.141593
596494.520044	2722327.913125	3.141593
596494.520048	2722327.913127	3.141593
596494.520052	2722327.913128	3.141593
596494.520056	2722327.913129	3.141593
596494.520060	2722327.913130	3.141593
596494.520064	2722327.913132	3.141593
596494.520068	2722327.913133	3.141593
596494.520072	2722327.913134	3.141593
596494.520076	2722327.913135	3.141593
596494.520080	2722327.913136	3.141593
596494.520084	2722327.913137	3.141593
596494.520088	2722327.913137	3.141593
596494.520092	2722327.913138	3.141593
596494.520096	2722327.913139	3.141593
596494.520100	2722327.913139	3.141593
596494.520105	2722327.913140	3.141593
596494.520109	2722327.913140	3.141593
596494.520113	2722327.913140	3.141593
596494.520117	2722327.913140	3.141593
596494.520122	2722327.913140	3.141593
596494.520126	2722327.913140	3.141593
596494.520130	2722327.913140	3.141593
596494.520135	2722327.913139	3.141593
596494.520140	2722327.913139	3.141593
596494.520144	2722327.913138	3.141593
596494.520149	2722327.913138	3.141593
596494.520155	2722327.913137	3.141593
596494.520160	2722327.913136	3.141593
596494.520166	2722327.913134	3.141593
596494.520171	2722327.913133	3.141593
596494.520177	2722327.913132	3.141593
596494.520182	2722327.913130	3.141593
596494.520188	2722327.913128	3.141593
596494.520194	2722327.913126	3.141593
596494.520200	2722327.913124	3.141593
596494.520206	2722327.913122	3.141593
596494.520212	2722327.913120	3.141593
596494.520218	2722327.913117	3.141593
596494.520224	2722327.913114	3.141593
596494.520230	2722327.913111	3.141593
596494.520236	2722327.913108	3.141593
596494.520242	2722327.913105	3.141593
596494.520248	2722327.913101	3.141593
596494.520254	2722327.913097	3.141593
596494.520259	2722327.913093	3.141593
596494.520265	2722327.913089	3.141593
596494.520271	2722327.913084	3.141593
596494.520277	2722327.913079	3.141593
596494.520282	2722327.913074	3.141593
596494.520288	2722327.913069	3.141593
596494.520294	2722327.913063	3.141593
596494.520299	2722327.913057	3.141593
596494.520305	2722327.913050	3.141593
596494.520311	2722327.913044	3.141593
596494.520316	2722327.913037	3.141593
596494.520322	2722327.913030	3.141593
596494.520327	2722327.913023	3.141593
596494.520333	2722327.913015	3.141593
596494.520339	2722327.913007	3.141593
596494.520345	2722327.912999	3.141593
596494.520350	2722327.912990	3.141593
596494.520356	2722327.912982	3.141593
596494.520362	2722327.912973	3.141593
596494.520368	2722327.912963	3.141593
596494.520681	2722327.912941	3.141593
596494.520990	2722327.912919	3.141593
596494.521295	2722327.912896	3.141593
596494.521597	2722327.912874	3.141593
596494.521895	2722327.912851	3.141593
596494.522190	2722327.912828	3.141593
596494.522482	2722327.912804	3.141593
596494.522771	2722327.912781	3.141593
596494.523057	2722327.912757	3.141593
596494.523344	2722327.912732	3.141593
596494.523629	2722327.912707	3.141593
596494.523911	2722327.912681	3.141593
596494.524190	2722327.912655	3.141593
596494.524466	2722327.912629	3.141593
596494.524739	2722327.912603	3.141593
596494.525009	2722327.912576	3.141593
596494.525277	2722327.912549	3.141593
596494.525542	2722327.912522	3.141593
596494.525805	2722327.912494	3.141593
596494.526065	2722327.912466	3.141593
596494.526323	2722327.912438	3.141593
596494.526579	2722327.912409	3.141593
596494.526832	2722327.912380	3.141593
596494.527083	2722327.912351	3.141593
596494.527332	2722327.912321	3.141593
596494.527578	2722327.912291	3.141593
596494.527823	2722327.912260	3.141593
596494.528065	2722327.912229	3.141593
596494.528306	2722327.912198	3.141593
596494.528545	2722327.912166	3.141593
596494.528781	2722327.912134	3.141593
596494.529016	2722327.912101	3.141593
596494.529249	2722327.912068	3.141593
596494.529480	2722327.912034	3.141593
596494.529710	2722327.912001	3.141593
596494.529938	2722327.911966	3.141593
596494.530164	2722327.911931	3.141593
596494.530389	2722327.911896	3.141593
596494.530612	2722327.911860	3.141593
596494.530834	2722327.911824	3.141593
596494.531055	2722327.911787	3.141593
596494.531273	2722327.911750	3.141593
596494.531491	2722327.911712	3.141593
596494.531707	2722327.911674	3.141593
596494.531922	2722327.911635	3.141593
596494.532135	2722327.911596	3.141593
596494.532347	2722327.911556	3.141593
596494.532558	2722327.911515	3.141593
596494.532767	2722327.911474	3.141593
596494.532976	2722327.911432	3.141593
596494.533183	2722327.911390	3.141593
596494.533389	2722327.911347	3.141593
596494.533593	2722327.911304	3.141593
596494.533797	2722327.911260	3.141593
596494.533999	2722327.911215	3.141593
596494.534200	2722327.911170	3.141593
