timestamp,speed,steering_percentage
1592471907.2217567,0.0,-1.5882353782653809
1592471907.23177,0.0,-1.5882353782653809
1592471907.2417557,0.0,-1.5882353782653809
1592471907.2517629,0.0,-1.5882353782653809
1592471907.2617953,0.0,-1.5882353782653809
1592471907.2717893,0.0,-1.5882353782653809
1592471907.281762,0.0,-1.5882353782653809
1592471907.2917507,0.0,-1.5882353782653809
1592471907.3017902,0.0,-1.5882353782653809
1592471907.3117948,0.0,-1.5882353782653809
1592471907.321777,0.0,-1.5882353782653809
1592471907.3317919,0.0,-1.5882353782653809
1592471907.3417895,0.0,-1.5882353782653809
1592471907.3517666,0.0,-1.5882353782653809
1592471907.3617957,0.0,-1.5882353782653809
1592471907.371778,0.0,-1.5882353782653809
1592471907.3817654,0.0,-1.5882353782653809
1592471907.3917954,0.0,-1.5882353782653809
1592471907.4017906,0.0,-1.5882353782653809
1592471907.4117658,0.0,-1.5882353782653809
1592471907.4217646,0.0,-1.5882353782653809
1592471907.4317605,0.0,-1.5882353782653809
1592471907.4417927,0.0,-1.5882353782653809
1592471907.4517617,0.0,-1.5882353782653809
1592471907.4618022,0.0,-1.5882353782653809
1592471907.471753,0.0,-1.5882353782653809
1592471907.481798,0.0,-1.5882353782653809
1592471907.4917936,0.0,-1.5882353782653809
1592471907.5018015,0.0,-1.5882353782653809
1592471907.5118036,0.0,-1.5882353782653809
1592471907.5218103,0.0,-1.5882353782653809
1592471907.5317612,0.0,-1.5882353782653809
1592471907.5417511,0.0,-1.5882353782653809
1592471907.5517657,0.0,-1.5882353782653809
1592471907.561807,0.0,-1.5882353782653809
1592471907.571798,0.0,-1.5882353782653809
1592471907.581802,0.0,-1.5882353782653809
1592471907.5917842,0.0,-1.5882353782653809
1592471907.6018028,0.0,-1.5882353782653809
1592471907.6141405,0.0,-1.5882353782653809
1592471907.622095,0.0,-1.5882353782653809
1592471907.6321282,0.0,-1.5882353782653809
1592471907.6421406,0.0,-1.5882353782653809
1592471907.6521518,0.0,-1.5882353782653809
1592471907.662106,0.0,-1.5882353782653809
1592471907.6721284,0.0,-1.5882353782653809
1592471907.6821043,0.0,-1.5882353782653809
1592471907.6921132,0.0,-1.5882353782653809
1592471907.7021427,0.0,-1.5882353782653809
1592471907.7121422,0.0,-1.5882353782653809
1592471907.7221384,0.0,-1.5882353782653809
1592471907.7321007,0.0,-1.5882353782653809
1592471907.7421324,0.0,-1.5882353782653809
1592471907.752133,0.0,-1.5882353782653809
1592471907.7621272,0.0,-1.5882353782653809
1592471907.7721074,0.0,-1.5882353782653809
1592471907.7821336,0.0,-1.5882353782653809
1592471907.792132,0.0,-1.5882353782653809
1592471907.8021233,0.0,-1.5882353782653809
1592471907.812131,0.0,-1.5882353782653809
1592471907.822103,0.0,-1.5882353782653809
1592471907.8321002,0.0,-1.5882353782653809
1592471907.8420808,0.0,-1.5882353782653809
1592471907.8521378,0.0,-1.5882353782653809
1592471907.862134,0.0,-1.5882353782653809
1592471907.8721302,0.0,-1.5882353782653809
1592471907.882124,0.0,-1.5882353782653809
1592471907.8921232,0.0,-1.5882353782653809
1592471907.9021144,0.0,-1.5882353782653809
1592471907.9121215,0.0,-1.5882353782653809
1592471907.922146,0.0,-1.5882353782653809
1592471907.9321098,0.0,-1.5882353782653809
1592471907.9421206,0.0,-1.5882353782653809
1592471907.9521403,0.0,-1.5882353782653809
1592471907.9621248,0.0,-1.5882353782653809
1592471907.9721158,0.0,-1.5882353782653809
1592471907.9821186,0.0,-1.5882353782653809
1592471907.9942553,0.0,-1.5882353782653809
1592471908.0022507,0.0,-1.5882353782653809
1592471908.0122745,0.0,-1.5882353782653809
1592471908.022271,0.0,-1.5882353782653809
1592471908.032266,0.0,-1.5882353782653809
1592471908.0422657,0.0,-1.5882353782653809
1592471908.0522811,0.0,-1.5882353782653809
1592471908.062279,0.0,-1.5882353782653809
1592471908.0722685,0.0,-1.5882353782653809
1592471908.082234,0.0,-1.5882353782653809
1592471908.0922573,0.0,-1.5882353782653809
1592471908.1022463,0.0,-1.5882353782653809
1592471908.112284,0.0,-1.5882353782653809
1592471908.1223001,0.0,-1.5882353782653809
1592471908.1322842,0.0,-1.5882353782653809
1592471908.1422496,0.0,-1.5882353782653809
1592471908.152234,0.0,-1.5882353782653809
1592471908.1622555,0.0,-1.5882353782653809
1592471908.1722474,0.0,-1.5882353782653809
1592471908.1822608,0.0,-1.5882353782653809
1592471908.1922483,0.0,-1.5882353782653809
1592471908.2022696,0.0,-1.5882353782653809
1592471908.2122843,0.0,-1.5882353782653809
1592471908.2222292,0.0,-1.5882353782653809
1592471908.2322304,0.0,-1.5882353782653809
1592471908.2422702,0.0,-1.5882353782653809
1592471908.252289,0.0,-1.5882353782653809
1592471908.262243,0.0,-1.5882353782653809
1592471908.2722807,0.0,-1.5882353782653809
1592471908.2822692,0.0,-1.5882353782653809
