timestamp,x,y
1590831357.863532,596492.2837836212,2722301.7141054985
1590831357.872757,596492.2837526354,2722301.7141266377
1590831357.8827033,596492.2837214067,2722301.71414714
1590831357.8927686,596492.2836897087,2722301.7141677015
1590831357.902712,596492.2836573089,2722301.714188436
1590831357.9127016,596492.2836246124,2722301.714209606
1590831357.9227552,596492.2835914758,2722301.714230356
1590831357.9327962,596492.2835589877,2722301.7142500826
1590831357.9426668,596492.2835270702,2722301.714268868
1590831357.9531915,596492.283494474,2722301.7142870766
1590831357.96267,596492.2834616479,2722301.7143053883
1590831357.972713,596492.2834288396,2722301.7143237456
1590831357.9827032,596492.283395682,2722301.714341948
1590831357.9927924,596492.283362298,2722301.7143600956
1590831358.0036492,596492.2833285716,2722301.7143774778
1590831358.0127857,596492.2832954841,2722301.7143937377
1590831358.0227244,596492.2832628175,2722301.7144094873
1590831358.0368464,596492.283229231,2722301.7144252616
1590831358.042674,596492.2831952272,2722301.7144406876
1590831358.0530806,596492.28316129,2722301.7144557647
1590831358.0626194,596492.2831273099,2722301.7144707385
1590831358.0747569,596492.2830931155,2722301.714486129
1590831358.0827787,596492.2830590036,2722301.7145019067
1590831358.0926645,596492.2830253472,2722301.71451738
1590831358.1027148,596492.2829921488,2722301.7145321826
1590831358.1127076,596492.2829587723,2722301.714546275
1590831358.1225717,596492.2829249303,2722301.7145598843
1590831358.1326334,596492.2828910503,2722301.7145730373
1590831358.1426468,596492.2828575828,2722301.7145861504
1590831358.1532288,596492.2828244267,2722301.7145992983
1590831358.1628337,596492.2841762915,2722301.712909335
1590831358.1728294,596492.2840838099,2722301.7130542607
1590831358.1826084,596492.283991422,2722301.7131986753
1590831358.1927133,596492.2838980255,2722301.7133425456
1590831358.202734,596492.2838046814,2722301.7134859273
1590831358.2128305,596492.2837112348,2722301.7136288383
1590831358.2228985,596492.2836174726,2722301.713771572
1590831358.2327735,596492.2835240329,2722301.7139142565
1590831358.242578,596492.2834304512,2722301.7140562185
1590831358.2528915,596492.2833372027,2722301.714197311
1590831358.2627716,596492.2832437694,2722301.7143379534
1590831358.2727678,596492.2831486949,2722301.714478625
1590831358.2827108,596492.2830528254,2722301.7146199234
1590831358.2927685,596492.2829569469,2722301.7147610006
1590831358.3030214,596492.2828611516,2722301.714901239
1590831358.3127608,596492.2827657426,2722301.7150407378
1590831358.3227289,596492.282670447,2722301.715179494
1590831358.3326683,596492.2826075125,2722301.715271869
1590831358.3426514,596492.2825449998,2722301.7153636063
1590831358.3568735,596492.2824820157,2722301.7154546045
