time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location,imu
1590560512.8418,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8475,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8517,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8576,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8617,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8675,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8717,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8776,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8887,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8891,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.8908,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.8969,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9012,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9069,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9112,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9169,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9212,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9269,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9312,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9368,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9412,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9468,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9512,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9568,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9612,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9668,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9712,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9769,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9812,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9868,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560512.9912,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560512.9969,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0012,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0068,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0112,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0169,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0212,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0268,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0312,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0368,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0412,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0468,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0511,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0568,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0612,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0668,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0712,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0768,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0812,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0868,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.0911,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.0969,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1011,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1068,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1112,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1168,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1212,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1268,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1312,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1368,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1411,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1468,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1512,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1568,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1612,0,1,0,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1668,0,1,0,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1712,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1769,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1812,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1868,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.1914,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.1968,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2012,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2068,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2112,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2168,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2212,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2268,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2312,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2368,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2412,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2469,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2512,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2569,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2612,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2669,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2712,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2768,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2812,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.2869,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.2912,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
